pid,source,ac,total,pass@1,difficulty
2180f1,cf_problems,6,20,0.30,Hard
1166,problems,7,20,0.35,Hard
1173,problems,7,20,0.35,Hard
12305,problems,7,20,0.35,Hard
833,problems,7,20,0.35,Hard
888,problems,7,20,0.35,Hard
993,problems,7,20,0.35,Hard
2146f,cf_problems,7,20,0.35,Hard
2158f2,cf_problems,7,20,0.35,Hard
2165d,cf_problems,7,20,0.35,Hard
6284,problems,8,20,0.40,Medium
7417,problems,8,20,0.40,Medium
2140f,cf_problems,8,20,0.40,Medium
10092,problems,9,20,0.45,Medium
1355,problems,9,20,0.45,Medium
1817,problems,9,20,0.45,Medium
2144e1,cf_problems,10,20,0.50,Medium
10543,problems,11,20,0.55,Medium
11722,problems,11,20,0.55,Medium
7510,problems,11,20,0.55,Medium
970,problems,11,20,0.55,Medium
2158e,cf_problems,11,20,0.55,Medium
2165c,cf_problems,11,20,0.55,Medium
10545,problems,12,20,0.60,Medium
10697,problems,12,20,0.60,Medium
4808,problems,12,20,0.60,Medium
8085,problems,12,20,0.60,Medium
2154c2,cf_problems,12,20,0.60,Medium
2174e1,cf_problems,12,20,0.60,Medium
4241,problems,13,20,0.65,Medium
2156f1,cf_problems,13,20,0.65,Medium
2162h,cf_problems,13,20,0.65,Medium
10091,problems,14,20,0.70,Medium
1839,problems,14,20,0.70,Medium
1854,problems,14,20,0.70,Medium
2548,problems,14,20,0.70,Medium
6538,problems,14,20,0.70,Medium
6551,problems,14,20,0.70,Medium
2154f1,cf_problems,14,20,0.70,Medium
8003,problems,15,20,0.75,Medium
837,problems,15,20,0.75,Medium
971,problems,15,20,0.75,Medium
2144e2,cf_problems,15,20,0.75,Medium
2146e,cf_problems,15,20,0.75,Medium
2161d,cf_problems,15,20,0.75,Medium
2161f,cf_problems,15,20,0.75,Medium
10871,problems,16,20,0.80,Medium
11623,problems,16,20,0.80,Medium
1875,problems,16,20,0.80,Medium
2156f2,cf_problems,16,20,0.80,Medium
2159d1,cf_problems,16,20,0.80,Medium
2161e,cf_problems,16,20,0.80,Medium
10693,problems,17,20,0.85,Medium
1359,problems,17,20,0.85,Medium
1811,problems,17,20,0.85,Medium
2570,problems,17,20,0.85,Medium
2174c1,cf_problems,17,20,0.85,Medium
12332,problems,18,20,0.90,Medium
1351,problems,18,20,0.90,Medium
2207,problems,18,20,0.90,Medium
2214,problems,18,20,0.90,Medium
2138c2,cf_problems,18,20,0.90,Medium
2143f,cf_problems,18,20,0.90,Medium
2144f,cf_problems,18,20,0.90,Medium
2158f1,cf_problems,18,20,0.90,Medium
2163d1,cf_problems,18,20,0.90,Medium
2164f2,cf_problems,18,20,0.90,Medium
2169f,cf_problems,18,20,0.90,Medium
2171e,cf_problems,18,20,0.90,Medium
10045,problems,19,20,0.95,Medium
1174,problems,19,20,0.95,Medium
2606,problems,19,20,0.95,Medium
4802,problems,19,20,0.95,Medium
6555,problems,19,20,0.95,Medium
7412,problems,19,20,0.95,Medium
850,problems,19,20,0.95,Medium
8564,problems,19,20,0.95,Medium
862,problems,19,20,0.95,Medium
975,problems,19,20,0.95,Medium
2145g,cf_problems,19,20,0.95,Medium
2147f,cf_problems,19,20,0.95,Medium
2156e,cf_problems,19,20,0.95,Medium
2159c,cf_problems,19,20,0.95,Medium
2164e,cf_problems,19,20,0.95,Medium
2170d,cf_problems,19,20,0.95,Medium
10083,problems,20,20,1.00,Easy
10862,problems,20,20,1.00,Easy
10872,problems,20,20,1.00,Easy
12212,problems,20,20,1.00,Easy
12213,problems,20,20,1.00,Easy
2554,problems,20,20,1.00,Easy
2601,problems,20,20,1.00,Easy
2605,problems,20,20,1.00,Easy
2626,problems,20,20,1.00,Easy
4243,problems,20,20,1.00,Easy
4786,problems,20,20,1.00,Easy
4788,problems,20,20,1.00,Easy
4795,problems,20,20,1.00,Easy
6104,problems,20,20,1.00,Easy
7415,problems,20,20,1.00,Easy
7416,problems,20,20,1.00,Easy
8086,problems,20,20,1.00,Easy
8184,problems,20,20,1.00,Easy
8190,problems,20,20,1.00,Easy
856,problems,20,20,1.00,Easy
977,problems,20,20,1.00,Easy
2137g,cf_problems,20,20,1.00,Easy
2138d,cf_problems,20,20,1.00,Easy
2138e1,cf_problems,20,20,1.00,Easy
2140d,cf_problems,20,20,1.00,Easy
2140e1,cf_problems,20,20,1.00,Easy
2140e2,cf_problems,20,20,1.00,Easy
2143d2,cf_problems,20,20,1.00,Easy
2143e,cf_problems,20,20,1.00,Easy
2145e,cf_problems,20,20,1.00,Easy
2145f,cf_problems,20,20,1.00,Easy
2146d2,cf_problems,20,20,1.00,Easy
2147g,cf_problems,20,20,1.00,Easy
2149g,cf_problems,20,20,1.00,Easy
2154e,cf_problems,20,20,1.00,Easy
2155e,cf_problems,20,20,1.00,Easy
2155f,cf_problems,20,20,1.00,Easy
2158d,cf_problems,20,20,1.00,Easy
2159b,cf_problems,20,20,1.00,Easy
2162f,cf_problems,20,20,1.00,Easy
2162g,cf_problems,20,20,1.00,Easy
2164f1,cf_problems,20,20,1.00,Easy
2169d2,cf_problems,20,20,1.00,Easy
2169e,cf_problems,20,20,1.00,Easy
2170e,cf_problems,20,20,1.00,Easy
2170f,cf_problems,20,20,1.00,Easy
2171g,cf_problems,20,20,1.00,Easy
2171h,cf_problems,20,20,1.00,Easy
2174c2,cf_problems,20,20,1.00,Easy
2174f,cf_problems,20,20,1.00,Easy
2176e,cf_problems,20,20,1.00,Easy
2176f,cf_problems,20,20,1.00,Easy
2180e,cf_problems,20,20,1.00,Easy
